customer_id,city
C001,Delhi
C002,Mumbai
C003,Chennai
C004,Hyderabad
C005,Hyderabad
C006,Bengaluru
C007,Delhi
C008,Ahmedabad
C009,Delhi
C010,Dhanbad
C011,Kolkata
C012,Mumbai
C013,Mumbai
C014,Delhi
C015,Hyderabad
C016,Hyderabad
C017,Ahmedabad
C018,Dhanbad
C019,Mumbai
C020,Ahmedabad
C021,Hyderabad
C022,Ahmedabad
C023,Kolkata
C024,Hyderabad
C025,Jaipur
C026,Dhanbad
C027,Chennai
C028,Mumbai
C029,Bengaluru
C030,Kolkata
C031,Pune
C032,Chennai
C033,Bengaluru
C034,Hyderabad
C035,Pune
C036,Delhi
C037,Delhi
C038,Kolkata
C039,Delhi
C040,Pune
C041,Pune
C042,Dhanbad
C043,Chennai
C044,Mumbai
C045,Jaipur
C046,Ahmedabad
C047,Delhi
C048,Kolkata
C049,Delhi
C050,Ahmedabad
C051,Chennai
C052,Dhanbad
C053,Pune
C054,Dhanbad
C055,Hyderabad
C056,Delhi
C057,Mumbai
C058,Hyderabad
C059,Chennai
C060,Delhi
C061,Hyderabad
C062,Delhi
C063,Kolkata
C064,Chennai
C065,Jaipur
C066,Pune
C067,Bengaluru
C068,Pune
C069,Pune
C070,Hyderabad
C071,Chennai
C072,Delhi
C073,Dhanbad
C074,Bengaluru
C075,Ahmedabad
C076,Hyderabad
C077,Bengaluru
C078,Jaipur
C079,Kolkata
C080,Chennai
C081,Ahmedabad
C082,Hyderabad
C083,Pune
C084,Mumbai
C085,Hyderabad
C086,Mumbai
C087,Pune
C088,Kolkata
C089,Chennai
C090,Delhi
C091,Hyderabad
C092,Dhanbad
C093,Pune
C094,Hyderabad
C095,Jaipur
C096,Kolkata
C097,Jaipur
C098,Bengaluru
C099,Chennai
C100,Bengaluru
C101,Hyderabad
C102,Ahmedabad
C103,Ahmedabad
C104,Chennai
C105,Dhanbad
C106,Kolkata
C107,Dhanbad
C108,Kolkata
C109,Pune
C110,Hyderabad
C111,Bengaluru
C112,Ahmedabad
C113,Jaipur
C114,Delhi
C115,Mumbai
C116,Delhi
C117,Bengaluru
C118,Bengaluru
C119,Kolkata
C120,Dhanbad
C121,Delhi
C122,Kolkata
C123,Kolkata
C124,Dhanbad
C125,Jaipur
C126,Ahmedabad
C127,Chennai
C128,Ahmedabad
C129,Mumbai
C130,Delhi
C131,Ahmedabad
C132,Chennai
C133,Pune
C134,Delhi
C135,Chennai
C136,Kolkata
C137,Bengaluru
C138,Jaipur
C139,Mumbai
C140,Chennai
C141,Ahmedabad
C142,Bengaluru
C143,Ahmedabad
C144,Delhi
C145,Chennai
C146,Ahmedabad
C147,Dhanbad
C148,Hyderabad
C149,Bengaluru
C150,Pune
C151,Bengaluru
C152,Ahmedabad
C153,Ahmedabad
C154,Mumbai
C155,Dhanbad
C156,Pune
C157,Jaipur
C158,Mumbai
C159,Delhi
C160,Pune
C161,Chennai
C162,Hyderabad
C163,Mumbai
C164,Hyderabad
C165,Dhanbad
C166,Delhi
C167,Delhi
C168,Jaipur
C169,Delhi
C170,Ahmedabad
C171,Bengaluru
C172,Bengaluru
C173,Jaipur
C174,Ahmedabad
C175,Bengaluru
C176,Chennai
C177,Ahmedabad
C178,Dhanbad
C179,Kolkata
C180,Hyderabad
C181,Ahmedabad
C182,Hyderabad
C183,Chennai
C184,Kolkata
C185,Pune
C186,Jaipur
C187,Ahmedabad
C188,Jaipur
C189,Delhi
C190,Hyderabad
C191,Hyderabad
C192,Delhi
C193,Pune
C194,Mumbai
C195,Dhanbad
C196,Ahmedabad
C197,Hyderabad
C198,Dhanbad
C199,Hyderabad
C200,Mumbai
C201,Delhi
C202,Mumbai
C203,Hyderabad
C204,Delhi
C205,Mumbai
C206,Pune
C207,Delhi
C208,Ahmedabad
C209,Hyderabad
C210,Chennai
C211,Jaipur
C212,Hyderabad
C213,Ahmedabad
C214,Bengaluru
C215,Dhanbad
C216,Dhanbad
C217,Jaipur
C218,Hyderabad
C219,Jaipur
C220,Kolkata
C221,Hyderabad
C222,Delhi
C223,Delhi
C224,Kolkata
C225,Pune
C226,Kolkata
C227,Kolkata
C228,Jaipur
C229,Mumbai
C230,Delhi
C231,Mumbai
C232,Kolkata
C233,Pune
C234,Delhi
C235,Hyderabad
C236,Hyderabad
C237,Hyderabad
C238,Ahmedabad
C239,Jaipur
C240,Bengaluru
C241,Kolkata
C242,Bengaluru
C243,Chennai
C244,Jaipur
C245,Hyderabad
C246,Delhi
C247,Jaipur
C248,Ahmedabad
C249,Delhi
C250,Mumbai
C251,Ahmedabad
C252,Mumbai
C253,Delhi
C254,Hyderabad
C255,Bengaluru
C256,Kolkata
C257,Jaipur
C258,Jaipur
C259,Hyderabad
C260,Kolkata
C261,Mumbai
C262,Bengaluru
C263,Kolkata
C264,Mumbai
C265,Kolkata
C266,Chennai
C267,Jaipur
C268,Chennai
C269,Kolkata
C270,Ahmedabad
C271,Jaipur
C272,Bengaluru
C273,Hyderabad
C274,Chennai
C275,Hyderabad
C276,Mumbai
C277,Dhanbad
C278,Ahmedabad
C279,Mumbai
C280,Pune
C281,Mumbai
C282,Mumbai
C283,Dhanbad
C284,Jaipur
C285,Ahmedabad
C286,Ahmedabad
C287,Bengaluru
C288,Mumbai
C289,Ahmedabad
C290,Delhi
C291,Bengaluru
C292,Delhi
C293,Dhanbad
C294,Delhi
C295,Hyderabad
C296,Kolkata
C297,Delhi
C298,Dhanbad
C299,Hyderabad
C300,Dhanbad
C301,Dhanbad
C302,Mumbai
C303,Dhanbad
C304,Delhi
C305,Kolkata
C306,Dhanbad
C307,Dhanbad
C308,Ahmedabad
C309,Pune
C310,Chennai
C311,Hyderabad
C312,Pune
C313,Hyderabad
C314,Chennai
C315,Kolkata
C316,Bengaluru
C317,Chennai
C318,Jaipur
C319,Pune
C320,Delhi
C321,Mumbai
C322,Jaipur
C323,Dhanbad
C324,Dhanbad
C325,Delhi
C326,Delhi
C327,Ahmedabad
C328,Hyderabad
C329,Ahmedabad
C330,Chennai
C331,Bengaluru
C332,Pune
C333,Delhi
C334,Hyderabad
C335,Pune
C336,Chennai
C337,Bengaluru
C338,Jaipur
C339,Ahmedabad
C340,Chennai
C341,Dhanbad
C342,Ahmedabad
C343,Mumbai
C344,Ahmedabad
C345,Chennai
C346,Delhi
C347,Bengaluru
C348,Chennai
C349,Delhi
C350,Delhi
C351,Ahmedabad
C352,Bengaluru
C353,Chennai
C354,Chennai
C355,Dhanbad
C356,Hyderabad
C357,Pune
C358,Hyderabad
C359,Chennai
C360,Ahmedabad
C361,Jaipur
C362,Chennai
C363,Mumbai
C364,Delhi
C365,Kolkata
C366,Chennai
C367,Mumbai
C368,Mumbai
C369,Pune
C370,Bengaluru
C371,Chennai
C372,Bengaluru
C373,Jaipur
C374,Ahmedabad
C375,Kolkata
C376,Ahmedabad
C377,Mumbai
C378,Delhi
C379,Delhi
C380,Bengaluru
C381,Ahmedabad
C382,Mumbai
C383,Pune
C384,Dhanbad
C385,Ahmedabad
C386,Bengaluru
C387,Kolkata
C388,Bengaluru
C389,Mumbai
C390,Chennai
C391,Pune
C392,Mumbai
C393,Pune
C394,Hyderabad
C395,Hyderabad
C396,Delhi
C397,Pune
C398,Ahmedabad
C399,Kolkata
C400,Dhanbad
